"target","bc_target","property_room_type","property_max_guests","property_bathrooms","property_bedrooms","property_beds","property_bed_type","property_last_updated","host_id","host_response_time","host_response_rate","host_nr_listings","booking_price_covers","booking_min_nights","booking_max_nights","booking_availability_30","booking_availability_60","booking_availability_90","booking_availability_365","booking_cancel_policy","reviews_num","reviews_first","reviews_last","reviews_rating","reviews_acc","reviews_cleanliness","reviews_checkin","reviews_communication","reviews_location","reviews_per_month","zipcode_class","dist_nearest_city_center","type_class","host_location_country","host_verified_amount","years_as_host","reviews_num_cat","review_period","review_period_was_missing","profile_pic","exact_location","instant_bookable","superhost","identified_host"
35,2.61847066597023,"Entire home/apt",4,1.5,2,2,"Real Bed","3 months ago",10033035,"within a day",70,2,4,2,1125,30,60,90,358,"strict",14,"2014-08-24","2017-01-02",92,10,9,9,10,9,0.42,68.9073324336482,0.0456290331167232,67.7696647324307,"BE",5,10,2,862,0,"1","0","0","0","1"
45,2.74717504836518,"Private room",2,1,1,2,"Real Bed","today",100363969,"within an hour",100,2,1,1,1125,4,26,46,321,"strict",42,"2016-10-23","2017-05-06",100,10,10,10,10,10,6.33,68.9073324336482,0.011910417620851,67.7696647324307,"BE",3,7,3,195,0,"1","1","1","1","0"
80,3.02060153370364,"Private room",2,1,1,1,"Real Bed","today",100363969,"within an hour",100,2,1,1,1125,13,43,73,346,"strict",28,"2016-10-28","2017-05-06",94,10,10,10,10,10,4.33,68.9073324336482,0.0123853093358843,67.7696647324307,"BE",3,7,3,190,0,"1","1","1","1","0"
179,3.35832756256652,"Entire home/apt",3,1,0,2,"Real Bed","2 weeks ago",100373890,"within an hour",100,1,1,2,1125,0,7,37,127,"flexible",8,"2016-11-06","2017-04-17",77,7,8,10,9,8,1.3,68.9073324336482,0.0279264072245164,67.7696647324307,"BE",3,7,2,162,0,"1","1","0","0","0"
60,2.88746292599211,"Private room",2,1,1,1,"Real Bed","2 weeks ago",10038260,"",91.3577010614429,2,1,2,1125,0,0,0,0,"moderate",51,"2015-08-13","2016-07-30",96,10,10,10,10,10,2.39,68.9073324336482,0.0110516982609898,67.7696647324307,"BE",4,10,3,352,0,"1","1","0","1","1"
40,2.68758727216782,"Entire home/apt",5,1,2,4,"Real Bed","2 weeks ago",10038260,"",91.3577010614429,2,1,2,1125,0,0,0,0,"moderate",3,"2016-05-08","2016-06-05",100,10,9,10,10,9,0.24,68.9073324336482,0.0112993686296834,67.7696647324307,"BE",4,10,1,28,0,"1","0","0","1","1"
70,2.95966893810484,"Entire home/apt",4,2,2,2,"Real Bed","6 weeks ago",100390960,"within an hour",91,2,1,2,15,13,20,38,38,"flexible",24,"2017-01-16","2017-05-01",97,10,9,10,10,9,6.32,64.5296551724138,0.0541573906671973,67.7696647324307,"BE",4,7,3,105,0,"1","1","1","1","0"
30,2.53656648225296,"Entire home/apt",2,1,1,1,"Real Bed","16 months ago",10044137,"",91.3308945096483,1,1,2,10,0,0,0,0,"flexible",4,"2016-01-17","2016-02-14",100,10,10,10,10,10,0.25,68.9073324336482,0.0148051934056768,67.7696647324307,"BE",4,10,1,28,0,"1","1","0","0","1"
90,3.0731335961039,"Private room",2,1.5,1,1,"Real Bed","2 weeks ago",100465537,"within a day",86,1,1,3,10,0,8,36,36,"flexible",4,"2016-11-13","2017-04-30",100,10,10,10,10,10,0.67,68.9073324336482,0.016104585200579,67.7696647324307,"BE",3,7,1,168,0,"1","0","0","0","0"
28,2.49915856776895,"Entire home/apt",2,1,1,2,"Real Bed","3 months ago",100472768,"within a day",50,1,1,2,100,22,52,82,172,"flexible",8,"2016-11-19","2017-04-17",83,9,10,10,10,9,1.37,68.9073324336482,0.0170490830530947,67.7696647324307,"BE",2,7,2,149,0,"1","0","0","0","0"
53,2.82786752014613,"Entire home/apt",2,1,1,1,"Real Bed","today",10048055,"within an hour",100,1,1,2,1125,0,5,7,80,"flexible",32,"2016-10-28","2017-05-11",99,10,10,10,10,9,4.87,68.9073324336482,0.0315091550745189,67.7696647324307,"BE",5,10,3,195,0,"1","1","0","1","1"
98,3.11041994435166,"Entire home/apt",2,1,1,1,"Real Bed","5 days ago",10049903,"within an hour",100,4,1,5,1125,8,22,36,65,"strict",16,"2016-09-11","2017-04-28",89,9,8,10,9,8,1.99,64.5296551724138,0.0483655881733612,67.7696647324307,"BE",3,10,2,229,0,"1","1","1","0","0"
50,2.79940753029994,"Entire home/apt",2,1,0,1,"Real Bed","3 weeks ago",10049903,"within an hour",100,4,1,5,1125,1,25,55,145,"flexible",4,"2016-11-21","2017-01-01",95,10,10,10,10,9,0.71,64.5296551724138,0.0439671906390796,67.7696647324307,"BE",3,10,1,41,0,"1","1","0","0","0"
30,2.53656648225296,"Entire home/apt",4,1,0,1,"Real Bed","a week ago",10049903,"within an hour",100,4,1,5,1125,8,22,42,43,"strict",9,"2016-12-19","2017-04-19",87,8,8,9,9,8,1.9,64.5296551724138,0.0460415920059568,67.7696647324307,"BE",3,10,2,121,0,"1","1","1","0","0"
169,3.33582498159672,"Entire home/apt",2,1,0,1,"Real Bed","5 weeks ago",10052630,"within a few hours",100,1,1,5,1125,0,0,9,9,"flexible",5,"2016-03-10","2016-06-17",100,10,10,10,10,10,0.35,68.9073324336482,0.00881140318717239,73.7420634920635,"BE",5,7,1,99,0,"1","1","0","0","1"
45,2.74717504836518,"Entire home/apt",2,1,1,1,"Real Bed","2 months ago",10054089,"within a day",100,1,2,2,1125,0,5,35,310,"moderate",4,"2015-10-04","2015-11-15",100,10,10,10,10,10,0.21,68.9073324336482,0.0210401330027038,67.7696647324307,"BE",4,10,1,42,0,"1","1","0","0","1"
75,2.99133621852285,"Entire home/apt",4,1,2,3,"Real Bed","2 weeks ago",100623091,"a few days or more",43,1,2,2,7,0,0,11,11,"flexible",12,"2016-11-06","2017-04-11",95,10,10,10,9,10,1.91,64.5296551724138,0.0332456613842316,67.7696647324307,"BE",4,7,2,156,0,"1","0","0","0","0"
125,3.21384157036292,"Entire home/apt",3,1,1,2,"Real Bed","3 days ago",10064480,"within an hour",100,1,1,1,1125,6,24,46,321,"strict",138,"2013-12-13","2017-05-03",77,8,8,9,9,9,3.33,68.9073324336482,0.023179207597142,67.7696647324307,"BE",3,10,3,1237,0,"1","0","1","0","0"
50,2.79940753029994,"Entire home/apt",2,1,1,1,"Real Bed","5 weeks ago",1006583,"within a day",100,1,2,3,27,6,24,54,54,"strict",1,"2017-01-03","2017-01-03",100,10,10,10,8,10,0.24,68.9073324336482,0.00181491137677755,67.7696647324307,"BE",6,12,1,0,0,"1","1","0","0","1"
70,2.95966893810484,"Entire home/apt",2,1,1,1,"Real Bed","today",10067223,"within an hour",100,1,2,2,1125,10,39,69,159,"moderate",26,"2016-09-26","2017-05-07",98,10,10,10,10,10,3.45,68.9073324336482,0.0123645789592326,67.7696647324307,"BE",5,10,3,223,0,"1","1","0","0","1"
46,2.75815383955692,"Private room",2,2,1,1,"Real Bed","today",100675874,"within an hour",100,2,1,1,7,28,58,88,88,"flexible",18,"2016-11-01","2017-05-04",89,9,9,10,10,8,2.84,57.8260869565217,0.055849597620667,67.7696647324307,"BE",3,7,2,184,0,"1","1","0","0","0"
40,2.68758727216782,"Private room",2,2,1,1,"Real Bed","today",100675874,"within an hour",100,2,1,1,90,1,1,18,19,"flexible",5,"2017-01-23","2017-04-28",92,9,9,9,9,9,1.4,57.8260869565217,0.0559794290986213,67.7696647324307,"BE",3,7,1,95,0,"1","1","1","0","0"
45,2.74717504836518,"Entire home/apt",4,1,1,2,"Real Bed","4 weeks ago",10068790,"within an hour",100,1,1,3,16,0,0,0,0,"strict",2,"2017-04-24","2017-04-29",100,10,9,10,10,10,2,68.9073324336482,0.0314486304803938,67.7696647324307,"FR",8,10,1,5,0,"1","1","0","0","1"
60,2.88746292599211,"Entire home/apt",2,1,1,1,"Real Bed","6 days ago",10075850,"within an hour",89,1,2,28,375,0,0,29,304,"moderate",11,"2014-05-09","2017-04-26",98,9,10,10,10,8,0.3,74.2602040816327,0.0320705444784205,67.7696647324307,"BE",4,10,2,1083,0,"1","1","0","0","1"
45,2.74717504836518,"Entire home/apt",4,1,2,3,"Real Bed","3 months ago",10078031,"within a day",90,2,1,2,1125,5,35,65,156,"moderate",20,"2016-08-21","2016-12-22",95,9,10,10,10,9,2.29,64.5296551724138,0.0519926998325002,67.7696647324307,"BE",6,10,3,123,0,"1","1","0","0","1"
80,3.02060153370364,"Entire home/apt",2,1,1,1,"Real Bed","today",10078031,"within a day",90,2,1,2,1125,0,11,41,41,"moderate",0,"","",NA,NA,NA,NA,NA,NA,NA,64.5296551724138,0.0526139163014963,67.7696647324307,"BE",6,10,3,NA,1,"1","1","0","0","1"
25,2.43668414427245,"Entire home/apt",3,1,1,1,"Real Bed","2 weeks ago",10082019,"within a day",100,1,2,7,1125,0,0,0,0,"moderate",2,"2015-07-28","2017-03-12",100,10,10,10,10,10,0.09,68.9073324336482,0.0245034013514865,67.7696647324307,"BE",4,10,1,593,0,"1","0","0","0","1"
25,2.43668414427245,"Entire home/apt",6,2,3,3,"Real Bed","2 weeks ago",10092477,"within an hour",100,4,2,2,1125,5,13,21,232,"moderate",54,"2016-07-17","2017-04-21",93,9,10,10,10,9,5.45,68.9073324336482,0.0204766595962441,67.7696647324307,"BE",4,10,3,278,0,"1","0","0","0","1"
100,3.11918129540432,"Entire home/apt",10,4,5,5,"Real Bed","5 weeks ago",10092477,"within an hour",100,4,1,2,1125,4,13,27,271,"moderate",0,"","",NA,NA,NA,NA,NA,NA,NA,68.9073324336482,0.0208049866392672,67.7696647324307,"BE",4,10,3,NA,1,"1","0","0","0","1"
60,2.88746292599211,"Entire home/apt",2,1,1,1,"Real Bed","2 weeks ago",10092477,"within an hour",100,4,1,2,1125,14,42,64,336,"moderate",130,"2013-11-28","2017-04-12",93,10,10,10,10,9,3.1,68.9073324336482,0.020129552161163,67.7696647324307,"BE",4,10,3,1231,0,"1","1","0","0","1"
40,2.68758727216782,"Entire home/apt",2,1,1,1,"Real Bed","2 weeks ago",10092477,"within an hour",100,4,2,2,1125,11,36,58,330,"moderate",128,"2014-03-20","2017-04-17",93,10,9,10,10,9,3.35,68.9073324336482,0.0207853051232726,67.7696647324307,"BE",4,10,3,1124,0,"1","1","0","0","1"
55,2.84580327119655,"Entire home/apt",4,1,1,2,"Real Bed","2 weeks ago",100929906,"within a few hours",91,1,1,1,1125,28,58,88,220,"moderate",1,"2017-04-27","2017-04-27",100,10,10,8,10,8,1,57.8260869565217,0.0414809159033699,67.7696647324307,"BE",4,7,1,0,0,"1","0","0","0","0"
65,2.92520842621306,"Entire home/apt",1,1,0,1,"Real Bed","19 months ago",10096728,"",82.9699858173492,1,1,1,1125,0,0,0,0,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,68.9073324336482,0.00768519949610774,67.7696647324307,"FR",3,10,3,NA,1,"1","0","0","0","0"
72,2.97264719144249,"Entire home/apt",5,2,3,4,"Real Bed","2 weeks ago",10096962,"within a few hours",100,1,1,4,1125,0,0,0,127,"flexible",4,"2016-03-18","2016-06-06",95,9,9,9,10,10,0.29,68.9073324336482,0.011687170288475,67.7696647324307,"FR",4,10,1,80,0,"1","1","0","0","1"
90,3.0731335961039,"Entire home/apt",2,1,0,1,"Real Bed","5 weeks ago",10100382,"",91.3308945096483,1,1,1,7,0,0,0,0,"flexible",3,"2016-04-25","2016-05-08",93,10,10,10,10,10,0.24,68.9073324336482,0.017910717223528,67.7696647324307,"BE",4,10,1,13,0,"1","1","0","0","0"
69,2.95301439063493,"Entire home/apt",5,2.5,3,3,"Real Bed","4 weeks ago",101046621,"within a day",56,2,5,3,1125,29,59,89,180,"strict",1,"2016-12-30","2016-12-30",100,10,10,10,10,10,0.23,68.9073324336482,0.0159995623009599,67.7696647324307,"BE",3,7,1,0,0,"1","1","0","0","0"
65,2.92520842621306,"Entire home/apt",4,1.5,2,2,"Real Bed","3 weeks ago",101046621,"within a day",56,2,1,3,1125,27,57,87,177,"flexible",1,"2017-04-21","2017-04-21",100,10,8,10,10,10,1,68.9073324336482,0.0534420013487743,67.7696647324307,"BE",3,7,1,0,0,"1","1","0","0","0"
139,3.25754552556961,"Entire home/apt",3,1,1,1,"Real Bed","3 months ago",10106461,"within an hour",100,1,3,6,1125,0,0,0,0,"moderate",12,"2015-01-19","2017-04-20",95,10,9,10,10,9,0.43,68.9073324336482,0.0307938876520644,67.7696647324307,"BE",4,10,2,822,0,"1","1","0","0","0"
95,3.09687379393877,"Private room",2,1,1,1,"Real Bed","3 weeks ago",101110199,"within an hour",100,1,1,1,3,29,59,89,89,"flexible",4,"2016-11-17","2017-04-23",100,10,10,10,10,10,0.69,68.9073324336482,0.00454050430941031,67.7696647324307,"BE",3,7,1,157,0,"1","0","0","0","0"
62,2.90299197642726,"Entire home/apt",3,1.5,2,2,"Real Bed","7 months ago",101115653,"",89.2463575635336,1,1,1,1125,0,0,0,0,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,68.9073324336482,0.0193778029282447,67.7696647324307,"BE",2,7,3,NA,1,"1","1","1","0","0"
45,2.74717504836518,"Entire home/apt",2,1,1,1,"Real Bed","2 months ago",101192,"within a few hours",100,1,2,3,30,23,53,83,358,"moderate",87,"2013-04-26","2017-04-28",99,10,10,10,10,9,1.77,68.9073324336482,0.0257794099737401,73.7420634920635,"BE",6,13,3,1463,0,"1","1","0","0","1"
58,2.87130972807089,"Private room",2,1,1,1,"Real Bed","yesterday",101194719,"within a day",90,2,1,2,10,4,4,4,25,"flexible",21,"2016-11-07","2017-04-13",90,10,9,10,9,10,3.42,68.9073324336482,0.00407520027880663,67.7696647324307,"BE",3,7,3,157,0,"1","1","1","0","0"
120,3.19681016220175,"Entire home/apt",4,1,2,2,"Real Bed","yesterday",101194719,"within a day",90,2,3,2,15,0,0,2,2,"strict",3,"2016-11-13","2017-04-17",100,9,8,10,10,10,0.51,68.9073324336482,0.00398768130201604,67.7696647324307,"BE",3,7,1,155,0,"1","1","0","0","0"
90,3.0731335961039,"Private room",1,1,1,1,"Real Bed","2 weeks ago",101204253,"within a day",100,1,1,7,1125,29,59,89,89,"flexible",3,"2016-11-02","2017-04-10",90,10,10,8,9,10,0.48,68.9073324336482,0.0599000649620821,67.7696647324307,"BE",2,7,1,159,0,"1","0","0","0","0"
89,3.06819838341036,"Entire home/apt",3,1.5,1,2,"Real Bed","3 weeks ago",10122805,"within an hour",100,1,1,1,1125,0,0,8,253,"flexible",3,"2015-06-15","2016-06-16",80,8,8,10,9,8,0.13,68.9073324336482,0.0265755886189127,73.7420634920635,"BE",4,10,1,367,0,"1","1","0","0","1"
35,2.61847066597023,"Private room",1,1,1,1,"Real Bed","6 months ago",101254357,"",87.3928786990528,1,1,1,30,0,0,0,0,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,68.9073324336482,0.016393264725875,67.7696647324307,"BE",1,7,3,NA,1,"1","1","1","0","0"
40,2.68758727216782,"Entire home/apt",4,1,1,2,"Real Bed","7 months ago",10131377,"",89.4774156451675,1,1,5,1125,0,0,0,0,"strict",0,"","",NA,NA,NA,NA,NA,NA,NA,68.9073324336482,0.0242277005788302,67.7696647324307,"BE",3,10,3,NA,1,"1","1","0","0","0"
42,2.71242568086175,"Entire home/apt",2,1,1,1,"Real Bed","today",101320427,"within an hour",100,1,1,3,1125,15,15,24,114,"moderate",7,"2017-01-02","2017-03-22",86,10,7,9,9,10,1.64,64.5296551724138,0.0722994109102857,67.7696647324307,"BE",7,7,2,79,0,"1","1","0","0","1"
69,2.95301439063493,"Entire home/apt",6,1,4,4,"Real Bed","yesterday",10133050,"within an hour",100,1,2,2,1125,9,25,40,115,"moderate",5,"2017-04-23","2017-05-03",96,10,9,10,10,9,5,64.5296551724138,0.03227939213459,67.7696647324307,"BE",4,10,1,10,0,"1","1","1","0","1"
44,2.73590406697445,"Private room",2,1,1,1,"Real Bed","today",101464736,"within a day",80,1,1,1,7,0,0,1,1,"flexible",12,"2017-01-15","2017-04-28",95,10,10,9,9,8,3.13,68.9073324336482,0.0218189643866636,67.7696647324307,"BE",3,7,2,103,0,"1","1","0","0","0"
65,2.92520842621306,"Entire home/apt",4,1.5,2,2,"Real Bed","20 months ago",10146603,"",89.4774156451675,1,4,2,20,0,0,0,0,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,68.9073324336482,0.0220520317718423,67.7696647324307,"BE",3,10,3,NA,1,"1","1","0","0","0"
130,3.23008626511199,"Private room",3,1,1,1,"Real Bed","today",101471163,"within an hour",100,2,2,1,6,8,21,25,25,"moderate",8,"2017-03-30","2017-05-03",95,9,9,10,10,10,5.85,74.2602040816327,0.0731668497112253,67.7696647324307,"BE",4,7,2,34,0,"1","1","1","0","0"
90,3.0731335961039,"Private room",2,1,1,2,"Real Bed","today",101471163,"within an hour",100,2,1,1,6,5,14,20,20,"moderate",7,"2017-03-29","2017-04-30",100,10,10,10,10,10,5,74.2602040816327,0.0739607640560882,67.7696647324307,"BE",4,7,2,32,0,"1","1","1","0","0"
55,2.84580327119655,"Entire home/apt",3,1,1,1,"Real Bed","5 days ago",1015024,"within a day",100,3,2,15,90,0,6,36,63,"moderate",1,"2017-01-04","2017-01-04",100,10,10,10,10,10,0.24,68.9073324336482,0.0249834299610337,67.7696647324307,"other",5,12,1,0,0,"1","1","0","0","1"
65,2.92520842621306,"Entire home/apt",5,2,3,3,"Real Bed","6 weeks ago",10150926,"within a day",100,2,1,5,1125,0,0,23,23,"strict",17,"2014-04-20","2016-12-31",84,8,8,9,9,9,0.46,64.5296551724138,0.0832577211055875,67.7696647324307,"BE",3,10,2,986,0,"1","1","0","0","0"
66,2.93234588946343,"Entire home/apt",3,1,1,2,"Real Bed","7 weeks ago",10159136,"",89.4774156451675,1,1,2,30,0,0,0,0,"flexible",1,"2015-08-28","2015-08-28",60,8,4,10,10,8,0.05,68.9073324336482,0.033515117328898,67.7696647324307,"BE",3,10,1,0,0,"1","1","0","0","0"
175,3.34950919608188,"Private room",2,1,1,1,"Real Bed","4 weeks ago",101620155,"within a day",100,2,1,1,1125,0,0,29,29,"flexible",1,"2016-11-16","2016-11-16",100,10,10,10,10,10,0.17,68.9073324336482,0.0324367991666623,67.7696647324307,"BE",4,7,1,0,0,"1","1","0","0","0"
59,2.87946722092524,"Entire home/apt",7,2,4,5,"Real Bed","5 days ago",101620155,"within a day",100,2,1,1,1125,7,24,49,74,"flexible",13,"2016-11-03","2017-04-30",92,10,9,10,10,9,2.07,68.9073324336482,0.0313570336215734,67.7696647324307,"BE",4,7,2,178,0,"1","0","0","0","0"
129,3.22689704888546,"Entire home/apt",2,1,1,2,"Real Bed","2 months ago",10164720,"a few days or more",40,1,1,2,1125,0,0,0,274,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,68.9073324336482,0.0289582473507488,67.7696647324307,"BE",4,10,3,NA,1,"1","0","0","0","1"
35,2.61847066597023,"Entire home/apt",3,1,2,2,"Real Bed","5 weeks ago",10189111,"within a day",75,1,2,3,30,0,13,43,318,"moderate",12,"2013-12-21","2016-03-08",80,9,8,8,9,8,0.29,68.9073324336482,0.0253310282478915,67.7696647324307,"BE",3,10,2,808,0,"1","1","0","0","0"
67,2.93935667672307,"Entire home/apt",2,1,1,1,"Real Bed","today",101924239,"within an hour",86,5,1,1,100,5,19,35,192,"flexible",1,"2017-04-01","2017-04-01",100,10,8,10,10,10,0.71,68.9073324336482,0.00642559068676419,67.7696647324307,"BE",4,7,1,0,0,"1","0","1","0","0"
160,3.31418399446258,"Entire home/apt",2,1,1,1,"Real Bed","today",101924239,"within an hour",86,5,1,1,30,5,22,36,189,"flexible",1,"2016-11-12","2016-11-12",80,10,10,9.60895170789164,2,9.24135899450118,0.16,68.9073324336482,0.00773549505734662,67.7696647324307,"BE",4,7,1,0,0,"1","1","1","0","0"
41,2.70018548310892,"Entire home/apt",2,1,1,1,"Real Bed","today",101924239,"within an hour",86,5,1,1,31,14,33,56,211,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,68.9073324336482,0.00598466260205615,67.7696647324307,"BE",4,7,3,NA,1,"1","1","1","0","0"
85,3.04778102599245,"Entire home/apt",2,1,0,1,"Real Bed","today",101924239,"within an hour",86,5,1,1,31,10,25,41,202,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,68.9073324336482,0.00708318140245004,73.7420634920635,"BE",4,7,3,NA,1,"1","1","1","0","0"
50,2.79940753029994,"Entire home/apt",2,1,0,1,"Real Bed","today",101924239,"within an hour",86,5,1,1,180,12,35,53,214,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,68.9073324336482,0.00800907751887877,67.7696647324307,"BE",4,7,3,NA,1,"1","1","1","0","0"
64,2.91793999568031,"Entire home/apt",4,1,1,1,"Real Bed","2 weeks ago",101937382,"within an hour",100,1,4,1,90,8,8,36,120,"moderate",25,"2016-11-13","2017-05-07",93,10,10,10,10,10,4.21,68.9073324336482,0.0543228949078365,67.7696647324307,"BE",3,7,3,175,0,"1","1","1","0","0"
57,2.86298429832729,"Private room",2,1,1,1,"Real Bed","2 weeks ago",10199063,"within an hour",100,1,1,5,15,0,0,0,128,"flexible",3,"2017-04-14","2017-04-27",100,10,8,9,10,10,3,68.9073324336482,0.0305099445923264,67.7696647324307,"BE",3,10,1,13,0,"1","0","1","0","0"
40,2.68758727216782,"Entire home/apt",4,1,1,1,"Real Bed","15 months ago",10200435,"",87.6239367806867,1,1,1,1125,0,0,0,0,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,68.9073324336482,0.0259319565148319,67.7696647324307,"BE",2,10,3,NA,1,"1","0","0","0","0"
28,2.49915856776895,"Private room",2,0.5,1,1,"Real Bed","today",10205913,"within an hour",100,1,1,1,1125,6,21,24,289,"moderate",78,"2016-09-16","2017-05-10",93,9,10,10,10,9,9.79,68.9073324336482,0.0238129387198512,67.7696647324307,"BE",3,10,3,236,0,"1","1","1","0","0"
89,3.06819838341036,"Entire home/apt",4,1,2,3,"Real Bed","a week ago",1020593,"within a few hours",100,1,2,2,31,12,17,46,316,"moderate",77,"2013-08-11","2017-04-23",83,9,8,9,9,9,1.69,68.9073324336482,0.0205394157558998,67.7696647324307,"BE",3,12,3,1351,0,"1","1","0","0","0"
60,2.88746292599211,"Private room",2,2,1,1,"Pull-out Sofa","5 days ago",102093646,"within a few hours",100,1,1,2,1125,6,36,66,341,"moderate",14,"2016-11-13","2017-05-02",99,10,10,10,10,10,2.36,68.9073324336482,0.0139307718006577,67.7696647324307,"BE",3,7,2,170,0,"1","1","0","1","0"
35,2.61847066597023,"Private room",1,1,1,1,"Real Bed","4 weeks ago",102101891,"within an hour",100,1,1,1,10,25,55,85,86,"flexible",4,"2017-03-24","2017-05-03",100,10,10,10,10,10,2.55,68.9073324336482,0.0436502713624237,67.7696647324307,"BE",3,7,1,40,0,"1","0","1","0","0"
89,3.06819838341036,"Entire home/apt",6,1,2,2,"Real Bed","2 weeks ago",102109369,"a few days or more",16,2,1,1,1125,26,38,66,66,"flexible",7,"2016-11-02","2017-03-29",100,9,9,10,10,10,1.11,68.9073324336482,0.00126913316746089,67.7696647324307,"BE",5,7,2,147,0,"1","1","0","0","0"
95,3.09687379393877,"Private room",4,1,1,2,"Real Bed","2 weeks ago",102109369,"a few days or more",16,2,1,1,1125,28,56,84,84,"flexible",6,"2016-12-10","2017-03-19",95,9,9,9,9,10,1.19,68.9073324336482,0.00179284203638817,67.7696647324307,"BE",5,7,2,99,0,"1","1","0","0","0"
150,3.2883839485245,"Entire home/apt",5,1,1,1,"Real Bed","3 weeks ago",102116,"within an hour",100,2,2,2,1125,7,37,67,342,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,74.2602040816327,0.0374827646079787,67.7696647324307,"BE",9,13,3,NA,1,"1","1","0","0","1"
