"target","bc_target","property_room_type","property_max_guests","property_bathrooms","property_bedrooms","property_beds","property_bed_type","property_last_updated","host_id","host_response_time","host_response_rate","host_nr_listings","booking_price_covers","booking_min_nights","booking_max_nights","booking_availability_30","booking_availability_60","booking_availability_90","booking_availability_365","booking_cancel_policy","reviews_num","reviews_first","reviews_last","reviews_rating","reviews_acc","reviews_cleanliness","reviews_checkin","reviews_communication","reviews_location","reviews_per_month","property_zip_missing","zipcode_class","dist_nearest_city_center","type_class","property_last_updated_numerical","Outlet covers","Fireplace guards","Grab-rails for shower and toilet","Table corner guards","Washer / Dryer","Free parking on street","Disabled parking spot","Flat smooth pathway to front door","Keypad","Single level home","host_location_country","host_verified_amount","years_as_host","category_30_low","category_30_medium","category_30_high","category_60_low","category_60_medium","category_60_high","category_90_low","category_90_medium","category_90_high","category_365_low","category_365_medium","category_365_high","reviews_num_cat","review_period","review_period_was_missing","profile_pic","exact_location","instant_bookable","superhost","identified_host","summary_score","property_sqfeet","property_type","property_zipcode"
50,2.79940753029994,"Entire home/apt",4,1,1,2,"Futon","4 months ago",2077688,"",88.7937366311565,1,2,5,180,0,0,0,128,"moderate",15,"2012-05-02","2016-12-28",97,10,9,9,10,10,0.25,0,67.4595649749024,0.0280030304494729,67.7722584719007,124,0,0,0,0,0,0,0,0,0,0,"BE",3,11,1,0,0,1,0,0,1,0,0,0,1,0,2,1701,0,"1","1","0","0","0",3,646,"Apartment","1050"
39,2.67461122454351,"Private room",2,1,1,1,"Real Bed","11 months ago",1104077,"within a day",50,1,1,7,760,30,60,90,365,"flexible",2,"2013-06-10","2013-07-05",96,10,9,10,10,10,0.04,0,67.4595649749024,0.0281067977750123,67.7722584719007,341,0,0,0,0,0,0,0,0,0,0,"BE",2,12,0,0,1,0,0,1,0,0,1,0,0,1,1,25,0,"1","1","0","0","0",0,0,"Apartment","2018"
45,2.74717504836518,"Entire home/apt",5,2,3,5,"Real Bed","2 weeks ago",16295687,"within a few hours",100,2,5,2,1125,3,9,38,298,"moderate",5,"2014-12-29","2017-04-17",100,10,9,10,10,9,0.17,0,69.862012987013,0.0203298539706132,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"BE",4,9,0,1,0,0,1,0,0,1,0,0,0,1,1,840,0,"1","0","0","0","0",0,NA,"Apartment","1060"
79,3.01492453287086,"Entire home/apt",6,2,5,6,"Real Bed","a week ago",10646554,"",89.3462250310473,1,1,5,1125,0,0,10,10,"strict",5,"2015-07-17","2016-08-22",96,10,10,10,10,10,0.23,0,69.862012987013,0.0210570355032219,67.7722584719007,7,0,1,0,0,0,0,0,0,0,0,"BE",3,10,1,0,0,1,0,0,1,0,0,1,0,0,1,402,0,"1","1","0","0","0",0,NA,"House","1060"
35,2.61847066597023,"Entire home/apt",4,1,1,3,"Real Bed","a week ago",45688015,"within an hour",100,3,2,4,1125,6,15,31,164,"moderate",58,"2016-08-31","2017-04-30",95,10,10,10,10,10,6.9,0,67.4595649749024,0.015224320140846,67.7722584719007,7,0,0,0,0,0,0,0,0,0,0,"BE",3,8,0,1,0,0,1,0,0,1,0,0,1,0,3,242,0,"1","0","0","0","0",2,NA,"Apartment","1050"
45,2.74717504836518,"Entire home/apt",12,3,4,7,"Real Bed","3 days ago",573329,"within a few hours",100,2,2,1,1125,24,51,71,344,"flexible",29,"2013-08-22","2017-04-03",93,9,10,10,10,9,0.64,0,65.1989795918367,0.0288368774238479,65.6535433070866,1095,0,0,0,0,0,0,0,0,0,0,"BE",8,12,0,0,1,0,0,1,0,0,1,0,0,1,3,1320,0,"1","1","0","0","1",-2,NA,"Bed & Breakfast","2140"
60,2.88746292599211,"Private room",2,1,1,1,"Real Bed","2 weeks ago",19368228,"within a day",90,1,1,1,5,11,33,63,153,"flexible",10,"2016-12-12","2017-04-28",86,9,8,10,9,8,2.01,0,63.8238434163701,0.0252533239419999,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"BE",3,9,0,1,0,0,1,0,0,0,1,0,1,0,2,137,0,"1","1","0","0","0",0,NA,"Apartment","1030"
79,3.01492453287086,"Private room",1,1,1,1,"Real Bed","4 months ago",23082521,"within a few hours",99,79,1,1,1125,0,5,35,126,"strict",0,"","",NA,NA,NA,NA,NA,NA,NA,0,67.4595649749024,0.0172790458401516,67.7722584719007,124,0,0,0,0,0,0,0,0,0,0,"BE",5,9,1,0,0,0,1,0,0,1,0,0,1,0,3,NA,1,"1","0","0","0","1",-2,NA,"Apartment","1210"
80,3.02060153370364,"Private room",3,1,1,2,"Real Bed","17 months ago",5237824,"",93.2202347410852,1,1,1,1125,0,0,0,0,"moderate",1,"2015-12-16","2015-12-16",91.7101661779081,9.45855811672388,9.21034567295906,9.61221486387049,9.62401960784314,9.23926380368098,0.06,0,63.8238434163701,0.0428630162508075,67.7722584719007,527,0,0,0,0,0,0,0,0,0,0,"BE",5,10,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,"1","0","0","0","1",2,NA,"House","1030"
40,2.68758727216782,"Private room",1,1,1,1,"Real Bed","today",114799173,"within an hour",100,2,1,2,1125,0,4,4,88,"moderate",2,"2017-02-24","2017-03-01",100,9,10,10,9,9,0.8,0,67.4595649749024,0.0361941691221347,67.7722584719007,0,0,0,0,0,0,0,0,0,0,0,"BE",3,6,1,0,0,0,1,0,1,0,0,0,1,0,1,5,0,"1","1","0","0","0",0,NA,"Apartment","1050"
42,2.71242568086175,"Entire home/apt",2,1,1,1,"Real Bed","2 weeks ago",29047609,"within a few hours",100,1,1,1,10,30,54,84,85,"flexible",12,"2016-10-07","2017-04-18",95,10,10,10,10,10,1.67,0,68.7899101589496,0.00806406848277846,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"BE",4,8,0,0,1,0,0,1,0,0,1,0,1,0,2,193,0,"1","1","0","0","0",2,NA,"Apartment","1000"
37,2.64743792917383,"Entire home/apt",6,2,2,2,"Real Bed","2 months ago",47900925,"within an hour",100,1,4,3,1125,16,36,50,325,"flexible",38,"2015-12-23","2017-05-05",85,9,9,9,9,8,2.26,0,69.862012987013,0.0160517732664632,71.9124087591241,62,0,0,0,0,0,0,0,0,0,0,"BE",5,8,0,0,1,0,0,1,0,1,0,0,0,1,3,499,0,"1","1","1","0","1",0,NA,"Loft","1060"
80,3.02060153370364,"Entire home/apt",4,1,1,2,"Real Bed","2 months ago",10811105,"within a few hours",100,2,2,1,1125,0,20,50,325,"strict",6,"2014-04-22","2017-01-03",77,8,6,8,9,7,0.16,0,68.7899101589496,0.0412118221521484,67.7722584719007,62,0,0,0,0,0,0,0,0,0,0,"BE",4,10,1,0,0,0,1,0,0,1,0,0,0,1,2,987,0,"1","1","0","0","1",1,NA,"Apartment","1040"
59,2.87946722092524,"Entire home/apt",4,2,2,2,"Real Bed","today",104688899,"within an hour",100,1,1,2,1125,8,12,19,68,"moderate",8,"2017-04-10","2017-05-01",95,10,10,10,10,10,8,0,68.7899101589496,0.00829465791307809,67.7722584719007,0,0,0,0,0,0,0,0,0,0,0,"other",7,7,0,1,0,0,1,0,0,1,0,0,1,0,2,21,0,"1","0","0","0","1",-1,NA,"Apartment","1000"
65,2.92520842621306,"Entire home/apt",3,1,2,2,"Real Bed","3 weeks ago",26204741,"within an hour",100,1,2,1,365,0,0,1,222,"moderate",29,"2015-02-10","2017-04-04",96,10,10,10,10,9,1.06,1,73.3092485549133,0.022096234245521,67.7722584719007,21,0,0,0,0,0,0,0,0,0,0,"BE",4,8,1,0,0,1,0,0,1,0,0,0,1,0,3,784,0,"1","0","1","0","1",0,NA,"Apartment","2060"
25,2.43668414427245,"Private room",2,1,1,1,"Real Bed","2 weeks ago",17262463,"within a day",50,2,1,2,14,0,0,13,13,"strict",0,"","",NA,NA,NA,NA,NA,NA,NA,0,68.7899101589496,0.012580282473753,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"BE",4,9,1,0,0,1,0,0,0,1,0,1,0,0,3,NA,1,"1","1","0","0","1",0,NA,"Apartment","1000"
75,2.99133621852285,"Entire home/apt",2,1,1,1,"Real Bed","1 week ago",46459971,"within a day",100,1,1,1,1125,10,40,62,311,"moderate",51,"2015-10-25","2017-04-26",96,10,10,10,10,10,2.7,0,67.4595649749024,0.0112102281129972,67.7722584719007,7,0,0,0,0,0,0,0,0,0,0,"BE",3,8,0,1,0,0,0,1,0,0,1,0,0,1,3,549,0,"1","0","0","1","0",0,NA,"Apartment","2000"
70,2.95966893810484,"Entire home/apt",2,1,1,1,"Pull-out Sofa","2 weeks ago",51905301,"within an hour",90,3,1,7,25,0,0,0,0,"flexible",1,"2016-09-11","2016-09-11",80,10,4,10,10,10,0.12,0,67.4595649749024,0.0253209621418994,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"FR",4,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,"1","1","0","0","0",0,NA,"Apartment","1050"
320,3.57300372448788,"Entire home/apt",2,1,1,1,"Real Bed","4 months ago",49279324,"",90.4512018308289,1,1,1,1125,0,0,0,250,"moderate",4,"2016-04-09","2016-06-03",90,9,10,10,10,10,0.3,0,69.862012987013,0.0245290572525762,67.7722584719007,124,0,0,0,0,0,0,0,0,0,0,"BE",3,8,1,0,0,1,0,0,1,0,0,0,1,0,1,55,0,"1","1","0","0","0",0,NA,"Apartment","1060"
25,2.43668414427245,"Entire home/apt",4,1,1,2,"Real Bed","3 days ago",6018684,"within an hour",100,2,2,2,270,21,40,40,287,"strict",10,"2015-03-11","2017-05-02",90,9,9,10,10,7,0.38,0,63.8238434163701,0.0231226496125193,67.7722584719007,1095,0,0,0,0,0,0,0,0,0,0,"BE",3,10,0,0,1,0,0,1,0,1,0,0,0,1,2,783,0,"1","1","0","0","0",2,NA,"Apartment","1070"
59,2.87946722092524,"Entire home/apt",3,1,1,2,"Real Bed","6 weeks ago",16087693,"within a day",100,1,2,2,1125,0,0,0,96,"flexible",4,"2016-05-04","2017-01-03",90,10,10,10,10,9,0.32,0,68.7899101589496,0.0357856525743758,67.7722584719007,42,0,0,0,0,0,0,0,0,0,0,"BE",4,9,1,0,0,1,0,0,1,0,0,0,1,0,1,244,0,"1","1","0","0","1",0,NA,"Apartment","1000"
80,3.02060153370364,"Entire home/apt",6,1,2,3,"Real Bed","today",2792958,"within a few hours",96,93,4,1,1125,3,15,28,278,"moderate",0,"","",NA,NA,NA,NA,NA,NA,NA,0,68.7899101589496,0.00540279046573143,67.7722584719007,0,0,0,0,0,0,0,0,0,0,0,"BE",5,11,0,1,0,0,1,0,0,1,0,0,1,0,3,NA,1,"1","1","0","0","1",-13,NA,"Apartment","1000"
59,2.87946722092524,"Entire home/apt",7,1,2,5,"Real Bed","2 weeks ago",13666437,"within a few hours",90,1,4,1,1125,3,27,54,329,"moderate",3,"2016-09-04","2017-04-06",93,10,10,10,10,9,0.36,0,67.4595649749024,0.0489066058636171,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"FR",4,9,0,1,0,0,1,0,0,1,0,0,0,1,1,214,0,"1","1","0","0","1",1,NA,"Apartment","1180"
45,2.74717504836518,"Private room",2,2,1,2,"Real Bed","2 months ago",36460701,"within a day",100,1,1,1,1125,0,4,34,309,"strict",8,"2016-11-30","2017-03-27",100,10,10,10,10,10,1.49,1,67.4595649749024,0.0319140295044871,67.7722584719007,62,0,0,0,0,0,0,0,0,0,0,"BE",5,8,1,0,0,0,1,0,0,1,0,0,0,1,2,117,0,"1","0","0","0","0",0,NA,"Apartment","1050"
61,2.89530266943898,"Entire home/apt",2,1,1,1,"Real Bed","2 months ago",47542627,"within a few hours",83,1,1,2,1125,25,54,80,170,"moderate",10,"2015-11-15","2017-04-29",82,9,8,9,9,7,0.55,0,65.1989795918367,0.034240255037824,67.7722584719007,62,0,0,0,0,0,0,0,0,0,0,"BE",3,8,0,0,1,0,0,1,0,0,1,0,1,0,2,531,0,"1","0","0","0","0",3,NA,"Apartment","2140"
25,2.43668414427245,"Entire home/apt",2,1,1,1,"Real Bed","3 days ago",32823597,"within an hour",100,6,1,1,1125,16,38,68,215,"strict",101,"2015-06-20","2017-05-02",91,10,9,9,9,10,4.39,0,68.7899101589496,0.00653330987077693,70.21875,1095,0,0,0,0,0,0,0,0,0,0,"BE",4,8,0,0,1,0,0,1,0,0,1,0,1,0,3,682,0,"1","1","1","0","1",-1,NA,"Townhouse","1000"
80,3.02060153370364,"Private room",4,1,1,2,"Real Bed","2 weeks ago",5672846,"within a few hours",100,2,2,2,1125,0,18,48,139,"moderate",17,"2013-11-04","2017-01-31",98,9,9,10,10,10,0.4,0,73.3092485549133,0.0340964157065467,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"BE",6,10,1,0,0,0,1,0,0,1,0,0,1,0,2,1184,0,"1","1","0","0","1",2,538,"House","1190"
80,3.02060153370364,"Private room",2,1,1,1,"Real Bed","never",111799111,"",89.6191737755915,1,1,1,1125,30,60,90,365,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,1,67.4595649749024,0.020489479438541,67.7722584719007,28,0,0,0,0,0,0,0,0,0,0,"BE",2,6,0,0,1,0,0,1,0,0,1,0,0,1,3,NA,1,"1","0","1","0","0",0,NA,"House","1050"
99,3.11482676755763,"Entire home/apt",3,1,1,3,"Real Bed","3 weeks ago",118493042,"within a few hours",100,2,1,2,60,1,1,1,190,"flexible",2,"2017-04-13","2017-04-18",90,9,7,10,10,10,2,0,63.8238434163701,0.0743203017020708,67.7722584719007,21,0,0,0,0,0,0,0,0,0,0,"BE",3,6,0,1,0,1,0,0,1,0,0,0,1,0,1,5,0,"1","0","0","0","0",0,NA,"Apartment","1200"
65,2.92520842621306,"Entire home/apt",2,1,1,1,"Real Bed","2 months ago",62922140,"within an hour",100,1,1,7,91,0,0,0,0,"moderate",0,"","",NA,NA,NA,NA,NA,NA,NA,0,69.862012987013,0.0237119065612905,67.7722584719007,62,0,0,0,0,0,0,0,0,0,0,"BE",8,7,1,0,0,1,0,0,1,0,0,1,0,0,3,NA,1,"1","1","0","0","1",2,NA,"Apartment","1060"
139,3.25754552556961,"Private room",2,2,1,1,"Real Bed","3 months ago",56580664,"",98.7517096507954,1,1,2,1125,3,20,36,52,"moderate",12,"2016-06-18","2016-08-30",97,10,10,10,10,10,1.09,0,67.4595649749024,0.0150369377937867,70.21875,93,0,0,0,0,0,0,0,0,0,0,"BE",7,7,0,1,0,0,1,0,0,1,0,1,0,0,2,73,0,"1","1","0","1","1",0,NA,"Townhouse","2018"
60,2.88746292599211,"Entire home/apt",2,1,1,1,"Real Bed","14 months ago",59947007,"",89.0666853757007,1,1,1,1125,0,0,0,0,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,0,69.862012987013,0.0201303305609955,67.7722584719007,434,0,0,0,0,0,0,0,0,0,0,"BE",2,7,1,0,0,1,0,0,1,0,0,1,0,0,3,NA,1,"1","0","0","0","0",2,NA,"Apartment","1060"
50,2.79940753029994,"Entire home/apt",2,1,0,1,"Real Bed","2 weeks ago",14706031,"within a few hours",70,2,1,1,1125,9,16,29,158,"strict",9,"2014-05-30","2017-04-13",90,10,9,10,9,8,0.25,0,65.1989795918367,0.0296899581990232,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"BE",4,9,0,1,0,0,1,0,0,1,0,0,1,0,2,1049,0,"1","0","0","0","0",0,NA,"Apartment","1080"
62,2.90299197642726,"Private room",2,1,1,1,"Real Bed","3 months ago",31604754,"within a day",80,1,2,1,90,26,56,86,361,"flexible",12,"2015-06-09","2017-04-30",85,9,9,10,10,9,0.51,0,63.8238434163701,0.0620597187068057,67.7722584719007,93,0,0,0,0,0,0,0,0,0,0,"BE",5,8,0,0,1,0,0,1,0,0,1,0,0,1,2,691,0,"1","1","0","0","1",-2,NA,"House","1070"
35,2.61847066597023,"Private room",2,1,1,1,"Real Bed","13 months ago",44203693,"within an hour",100,1,1,1,1125,30,60,90,365,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,0,73.3092485549133,0.0387734299607796,67.7722584719007,403,0,0,0,0,0,0,0,0,0,0,"BE",2,8,0,0,1,0,0,1,0,0,1,0,0,1,3,NA,1,"1","0","0","0","0",0,NA,"Apartment","1190"
121,3.20028276319623,"Entire home/apt",2,1,0,1,"Real Bed","today",1569736,"within an hour",100,69,1,92,1092,28,58,88,363,"strict",2,"2015-04-10","2015-05-28",60,6,5,7,9,6,0.08,0,63.8238434163701,0.0147323204440409,67.7722584719007,0,0,0,0,0,0,0,0,0,0,0,"BE",4,11,0,0,1,0,0,1,0,0,1,0,0,1,1,48,0,"1","0","1","0","1",0,NA,"Apartment","1070"
69,2.95301439063493,"Entire home/apt",2,1,1,1,"Real Bed","today",19427428,"within an hour",100,33,2,2,1125,17,47,77,344,"moderate",47,"2015-02-21","2017-04-17",94,10,10,10,9,9,1.74,0,67.4595649749024,0.0197141619604258,67.7722584719007,0,0,0,0,0,0,0,0,0,0,0,"BE",3,9,0,0,1,0,0,1,0,0,1,0,0,1,3,786,0,"1","1","1","0","0",-5,NA,"Apartment","1210"
55,2.84580327119655,"Private room",2,2,1,1,"Real Bed","a week ago",34735052,"a few days or more",20,1,1,1,1125,13,43,73,348,"moderate",0,"","",NA,NA,NA,NA,NA,NA,NA,0,73.3092485549133,0.0352811567255142,67.7722584719007,7,0,0,0,0,0,0,0,0,0,0,"BE",4,8,0,1,0,0,0,1,0,0,1,0,0,1,3,NA,1,"1","1","0","0","1",0,NA,"House","1190"
120,3.19681016220175,"Entire home/apt",4,1,2,1,"Real Bed","3 days ago",1718830,"within an hour",96,3,2,2,1125,19,49,77,345,"moderate",34,"2013-08-11","2017-05-07",95,10,9,10,10,9,0.74,0,73.3092485549133,0.02138136144824,67.7722584719007,1095,0,0,0,0,0,0,0,0,0,0,"BE",4,11,0,0,1,0,0,1,0,0,1,0,0,1,3,1365,0,"1","0","1","0","1",3,NA,"Apartment","2060"
60,2.88746292599211,"Private room",1,1,1,1,"Real Bed","4 days ago",64870905,"within an hour",100,16,1,1,300,0,6,34,295,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,0,69.862012987013,0.0583464433953584,67.7722584719007,1460,0,0,0,0,0,0,0,0,0,0,"BE",3,7,1,0,0,0,1,0,0,1,0,0,0,1,3,NA,1,"1","1","0","0","0",0,NA,"Apartment","1140"
120,3.19681016220175,"Entire home/apt",6,2,3,3,"Real Bed","yesterday",104912760,"",91.0036902307197,1,1,3,1125,0,0,6,25,"moderate",0,"","",NA,NA,NA,NA,NA,NA,NA,0,67.4595649749024,0.0321141528294679,67.7722584719007,1,0,0,0,0,0,0,0,0,0,0,"BE",3,7,1,0,0,1,0,0,1,0,0,1,0,0,3,NA,1,"1","0","1","0","0",0,NA,"House","1050"
59,2.87946722092524,"Entire home/apt",3,1,1,2,"Real Bed","yesterday",107384510,"within an hour",100,2,1,1,1125,17,34,34,254,"flexible",2,"2017-04-11","2017-05-02",100,10,8,10,10,10,2,0,63.8238434163701,0.018437483608324,67.7722584719007,1,0,0,0,0,0,0,0,0,0,0,"BE",7,7,0,0,1,0,1,0,0,1,0,0,1,0,1,21,0,"1","1","1","0","1",0,NA,"Apartment","1030"
51,2.80911346974305,"Private room",2,1,1,1,"Real Bed","23 months ago",13189807,"",89.8987134309381,1,2,3,30,0,0,0,67,"strict",1,"2015-06-16","2015-06-16",100,10,10,8,8,8,0.04,0,69.862012987013,0.0249313632990442,67.7722584719007,713,0,0,0,0,0,0,0,0,0,0,"BE",3,9,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,"1","1","0","0","0",0,NA,"Apartment","1060"
125,3.21384157036292,"Private room",1,1,1,1,"Real Bed","20 months ago",43160693,"",90.4512018308289,1,1,15,25,0,0,0,0,"flexible",0,"","",NA,NA,NA,NA,NA,NA,NA,0,73.3092485549133,0.0253904849412308,67.7722584719007,620,0,0,0,0,0,0,0,0,0,0,"BE",3,8,1,0,0,1,0,0,1,0,0,1,0,0,3,NA,1,"1","0","0","0","0",2,NA,"Apartment","1190"
46,2.75815383955692,"Private room",1,1,1,1,"Real Bed","7 months ago",17560288,"",95.9197627827984,1,1,5,1125,0,0,0,0,"flexible",2,"2015-10-14","2015-11-15",100,10,10,10,10,10,0.1,0,63.8238434163701,0.0559848151049891,67.7722584719007,217,0,0,0,0,0,0,0,0,0,0,"NL",4,9,1,0,0,1,0,0,1,0,0,1,0,0,1,32,0,"1","1","1","0","1",0,NA,"House","1200"
45,2.74717504836518,"Shared room",3,1,1,2,"Real Bed","a week ago",40513093,"within a few hours",100,1,2,1,1125,4,14,20,49,"flexible",52,"2015-09-24","2017-05-07",93,10,9,9,10,9,2.63,0,68.7899101589496,0.0430519279446631,67.7722584719007,7,0,0,0,0,0,0,0,0,0,0,"BE",4,8,0,1,0,0,1,0,0,1,0,1,0,0,3,591,0,"1","0","0","0","0",2,NA,"Apartment","1040"
110,3.16008337484783,"Entire home/apt",3,1,3,3,"Real Bed","4 months ago",73090899,"within an hour",100,2,1,1,1,27,57,87,88,"flexible",3,"2016-06-16","2017-04-26",100,9,9,10,10,9,0.27,0,63.8238434163701,0.0722368321287454,67.7722584719007,124,0,0,0,0,0,0,0,0,0,0,"BE",6,7,0,0,1,0,0,1,0,0,1,0,1,0,1,314,0,"1","1","1","0","1",2,NA,"Apartment","1070"
55,2.84580327119655,"Entire home/apt",6,2,3,3,"Real Bed","2 weeks ago",7040070,"within a day",100,1,1,5,1125,0,6,6,6,"moderate",4,"2016-08-13","2017-03-05",95,10,10,10,10,10,0.44,0,69.862012987013,0.024611155290717,67.7722584719007,14,0,0,0,0,0,0,0,0,0,0,"BE",4,10,1,0,0,0,1,0,1,0,0,1,0,0,1,204,0,"1","1","0","0","1",0,NA,"Apartment","1060"
150,3.2883839485245,"Entire home/apt",2,1,1,1,"Real Bed","a week ago",107470,"within an hour",100,2,1,2,1125,13,43,73,348,"strict",3,"2017-04-23","2017-04-26",93,10,9,10,10,9,3,0,67.4595649749024,0.012132046066915,67.7722584719007,7,0,0,0,0,0,0,0,0,0,0,"BE",4,13,0,1,0,0,0,1,0,0,1,0,0,1,1,3,0,"1","0","0","0","1",1,NA,"Apartment","2000"
